nChunks,METEOR,BLEU,BERT,ROUGE,OVERLAP,OVERLAPE
0,0.5717943167482368,0.1813342715496339,0.6686699999999999,0.3849706046798899,0.7866400000000002,0.6261249999999999
1,0.586090208672694,0.1634188640768408,0.662945,0.3557961774117721,0.824095,0.6566849999999999
2,0.5650310466491126,0.2081636032813532,0.6796300000000002,0.3859934335388209,0.8196600000000002,0.6269699999999998
3,0.6000174404797114,0.222307847974605,0.6876149999999999,0.4100574824775508,0.81383,0.589885
4,0.6297183807201261,0.2106768104433093,0.687385,0.3865006310048275,0.86255,0.6357200000000001
5,0.6269646506696093,0.17603993261288875,0.6931473684210526,0.4124154753413404,0.8490368421052631,0.6113684210526316
6,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0
