nChunks,METEOR,BLEU,BERT,ROUGE,OVERLAP,OVERLAPE,TEMPS
0,0.2605379304574398,0.0242872863158571,0.3677079545454544,0.0807011210496083,0.7207977272727274,0.2978852272727273,78.64970390092243
1,0.2439139167222066,0.0207198687969258,0.3654852272727271,0.074553657804655,0.7332647727272729,0.3068181818181818,78.2173947312615
2,0.2503434305491396,0.0201739532983326,0.3586425287356322,0.0709924801845727,0.7492965517241379,0.3405862068965516,78.45908353246492
3,0.2546161666430472,0.02037544361902,0.3661375000000001,0.0747070473980475,0.7808375000000002,0.3267602272727272,78.45590707117861
4,0.2640792037392307,0.0230188762787163,0.3626333333333332,0.0770389234580681,0.7758827586206899,0.3656137931034482,78.76900273904033
5,0.2659144852753135,0.0240859194198486,0.3682149425287357,0.0738186625224543,0.8223689655172414,0.3694448275862069,78.8974801480085
6,0.2540391426985354,0.0248142658466915,0.3608340909090907,0.0748691178632904,0.8046147727272729,0.3293306818181818,79.57392145828767
7,0.2624212849679707,0.0248423927483615,0.3688409090909091,0.0807954395304938,0.8055727272727272,0.3414011363636363,79.08130852471699
8,0.2615537190345826,0.0266374280392281,0.3679363636363635,0.0781498606208692,0.8102681818181817,0.3649636363636363,79.99097235907207
9,0.2558975689667471,0.022614564278406,0.3629126436781609,0.0760712721277448,0.7613816091954023,0.3447321839080459,81.70311903405464
10,0.25004521339158226,0.020824171000741052,0.36072674418604633,0.0716247673107055,0.8000755813953488,0.40426627906976736,82.15790132589119
