nChunks,METEOR,BLEU,BERT,ROUGE
0,0.64795511751891,1.2746180339083566,0.6938229999999999,0.4541438489840873
1,0.6823649491338994,1.0535083703332233,0.7177929999999999,0.4876130643252495
2,0.6916050072522323,0.9940939714557018,0.713997,0.4953195956662914
3,0.7114167178850438,0.730760852878649,0.7267809999999999,0.5111769620719415
4,0.7017986752269859,0.6661266947023712,0.7181099999999998,0.4917021753822767
5,0.6968765911795676,0.8855152615146044,0.7160050000000002,0.4933213316241195
6,0.65146031522863,1.1559915519790662,0.6857750000000001,0.4446596949020338
7,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0
10,0.6436784726964538,1.3753009126713849,0.6777759999999999,0.45450774260829196
