nChunks,METEOR,BLEU,BERT,ROUGE,OVERLAP,OVERLAPE,TEMPS
0,0.594641764939656,0.2839095750409077,0.7795349999999999,0.590382384287834,0.71317,0.5253950000000001,886.9370476484298
1,0.6008726496256224,0.2693222604108509,0.7626849999999998,0.5468804967228234,0.7154849999999999,0.5637300000000001,56.4022283911705
2,0.6972233406477055,0.2780392899043692,0.76784,0.5916522092485622,0.8175399999999999,0.703565,58.58721215724945
3,0.6797517664244668,0.3110638325389747,0.779615,0.5869075695887269,0.850005,0.7559849999999999,53.8698322057724
4,0.6259552440647427,0.2360455346151773,0.7377499999999999,0.5229202449633819,0.7889649999999999,0.70807,55.074809324741366
5,0.6823206635953125,0.303949787909471,0.7558,0.543362735053194,0.85685,0.740925,66.71157668828964
6,0.6683982612982512,0.3185273272195187,0.759585,0.5703569265220217,0.86065,0.7005699999999999,62.62357684373856
7,0.6623173468251287,0.2371715704994392,0.7389649999999999,0.5348484655108374,0.8417250000000001,0.73259,62.689647543430326
8,0.6353824593118025,0.2986374514256997,0.74683,0.5351175597684992,0.8206300000000001,0.75085,63.64093495607376
9,0.6668143807775905,0.2904221324308884,0.7462600000000001,0.5351041661767375,0.8614450000000001,0.75807,66.73642749786377
10,0.5843894296307799,0.22368501367207466,0.709095,0.4710484160112613,0.79693,0.688075,61.16532301902771
