Question,Reponse,Paragraphe_Source
What is the main cause of HIV-1 infection in children?,Mother-to-child transmission (MTCT) is the main cause of HIV-1 infection in children worldwide. ,1
What plays the crucial role in the Mother to Child Transmission of HIV-1 and what increases the risk,DC-SIGNR plays a crucial role in MTCT of HIV-1 and that impaired placental DC-SIGNR expression increases risk of transmission.,1
"How many children were infected by HIV-1 in 2008-2009, worldwide?","more than 400,000 children were infected worldwide, mostly through MTCT and 90% of them lived in sub-Saharan Africa. ",1
What is the role of C-C Motif Chemokine Ligand 3 Like 1 (CCL3L1) in mother to child transmission of HIV-1?,"High copy numbers of CCL3L1, a potent HIV-1 suppressive ligand for CCR5, are associated with higher chemokine production and lower risk of MTCT of HIV-1 among South African infants",1
What is DC-GENR and where is  it expressed?,"Dendritic cell-specific ICAM-grabbing non-integrin-related (DC-SIGNR, also known as CD209L or liver/lymph node-specific ICAM-grabbing non-integrin (L-SIGN)) can interact with a plethora of pathogens including HIV-1 and is expressed in placental capillary endothelial cells",1
How does the presence of DC-SIGNR affect the MTCT of HIV-1?,the presence of DC-SIGNR at the placental endothelial cell surface may protect infants from HIV-1 infection by capturing virus and promoting its degradation/presentation. ,1
Why do low levels of DC-SIGNR enhance Mother to Child Transmission of HIV-1?,"in placenta containing low levels of DC-SIGNR, HIV-1 would preferentially binds CCR5 on endothelial cells resulting in a loss of placental barrier integrity and enhanced passage of maternal HIV-1-infected cells in foetal circulation leading to MTCT of HIV-1",1
"What is the percentage of Mother to Child Transmission of HIV-1, when there is no intervention?","Without specific interventions, the rate of HIV-1 mother-tochild transmission (MTCT) is approximately 15-45%",1
Does C-C chemokine receptor type 5 (CCR5) affect the transmission of HIV-1?,Genetic variants in CCR5 have been shown to influence vertical transmission of HIV-1. CCR5 promoter variants resulting in higher expression of the receptor were associated with increased risk of MTCT of HIV-1 among sub-Saharan Africans,1
How does Mannanose Binding Lectin (MBL) affect elimination of HIV-1 pathogen?,"Mannose-binding lectin (MBL) is an innate immune receptor synthesised in the liver and secreted in the bloodstream in response to inflammation signal. MBL promotes pathogen elimination by opsonization and phagocytosis,",1
How can CCR5's effect in HIV-1 transmission be reduced?,The 32-pb deletion polymorphism in CCR5 has be shown to protect from vertical transmission of HIV-1,1
What is IFITM?,interferon-induced transmembrane,2
How many cysteine residues are contained in the first transmembrane domain of IFITM3?,three,2
What inhibits S-palmitoylation?,2-bromopalmitic acid (2BP),2
What interaction is inhibited by the presence of 2-bromopalmitic acid (2BP)?,IFITM5 with FKBP11,2
What is a function associated with IFITM5?,bone formation factor.,2
What regulates the antiviral activity of IFITM3?,S-palmitoylation on the protein,2
What is another name for IFITM5?,bonerestricted IFITM-like (BRIL) protein,2
Why is the expression of IFITM5 not promoted by interferons?,the region upstream of the ifitm5 gene lacks the interferon regulatory elements,2
What is the amino acid similarity between IFITM5 and the other IFITM proteins?,~ 65% similarity,2
"What is the amino acid similarity between IFITM 1, IFITM 2, and IFITM 3?",~ 85% similarity,2
What amino acid might be involved in calcium binding in the C-terminal region of a protein?,aspartate,2
What is the size of bovine coronavirus?,31 kb,3
What is the molecular structure of bovine coronavirus?,"single-stranded, linear, and nonsegmented RNA",3
How many nucleotides does bovine coronavirus contain?,"30,847 nucleotides",3
What is the size of the orf1ab gene in bovine coronavirus?,20kb,3
Is the orf1ab gene at the 3' or 5' end of the bovine coronavirus genome?,5= side,3
What is a significant cause of Influenze like illness among healthy adolescents and adults presenting for medical evaluation?,HCoV,4
"What is the most common species of Human Coronavirus among adults?
",HCoV-OC43,4
Which Human Coronavirus showed species specific clinical characteristics of its infection?,HCoV‐HKU1,4
What causes the outbreak of SARS and MERS.,Highly virulent species of HCoV,4
What is the case fatality rate of SARS and MERS?,ranged from 14% to 45%,4
What were the common HCOV strains in the 5 year USA study?, HCoV-OC43 and HCoV-229E,4
Which species are more prevalent but less severe?,"HCoV-HKU1, HCoV-OC43, HCoV-NL63, and HCoV-229E",4
What is required for a Hepatitis B infection in cells?,both intracellular and cell-surface factors,5
"What regulates the broad, but less specific, virus-cell interaction in a hepatitis B infection?",heparan sulfates in the membrane proteins,5
Which protein domain of the Hepatitis B envelope is necessary for infection?,Nterminus of HBV preS1 (amino acids 1-47) ,5
Where is NTCP located in the body?,lateral surface (canalicular) of hepatocytes,5
What does the NTCP protein mediate?,bile acid transport ,5
Is NTCP sufficient to allow HBV infection?,not sufficient,5
Why is NTCP thought to not be sufficient for HBV infection?,the majority of HepaRG cells were found to express NPCT but not to be infected,5
"What kinds of viruses are Japanese encephalitis virus(JEV), tick-borne encephalitis virus(TBEV), eastern equine encephalitis virus (EEEV), sindbis virus(SV), and dengue virus(DV)?",arboviruses,6
What are the current clinically-available methods to detect encephalitis viral antigens?,ELISA and IFA,6
"What methods exist for detecting multiple antigens simultaneously in a one-sample, laboratory test?","two-dimensional gel electrophoresis , protein chip, mass spectrometry, and suspension array technology",6
How many antigens could be detected by Liew's multiplex ELISA test?,9,6
What kind of antibodies were used in the ELISA-array assay?,monoclonal,6
How was the ELISA assay validated?,using cultured viruses and inoculated chicken eggs with patient sera,6
What capture antibodies were used in the study?,"4D5, 2B5, 1F1, 2B8, 4F9, and 4E11",6
What was the spotting concentration range for the capture antibodies?,from 0.2 to 0.0125 mg/ml,6
How was the proper spotting concentration determined?,combination of minimized cross reaction and higher signal intensity,6
How was cross reaction detection determined?,"by applying JEV, YF, and DV cultures",6
How was the ELISA-array assay validated?,using cultured viruses and inoculated chicken eggs with patient sera,6
"In 2010, how many cases of tuberculosis were estimated in China?","108 per 100,000",7
What is the population of Shandong province?,94 million,7
What was the purpose of this study?,estimate the TB prevalence in Shandong,7
What was the age range for the people surveyed?,15 years old or above,7
How was the survey designed?,in accordance with WHO recommendations,7
Was was the sample size?,52500,7
How were the clusters selected?,A stratified multi stage random sampling,7
How many people were in a community cluster?,1250 to 1750,7
Who was excluded from the study?,Military barracks and prisons,7
When was the study conducted?,March to June 2010,7
